,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'Focaccia', 'Spicy Meatballs'})",frozenset({'Bucatini Cacio e Pepe'}),0.07647529106081047,0.1782841153250387,0.03217908359566282,0.4207775236850703,2.3601515082705475,0.018544753984661384,1.418653312459141
1,frozenset({'Bucatini Cacio e Pepe'}),"frozenset({'Focaccia', 'Spicy Meatballs'})",0.1782841153250387,0.07647529106081047,0.03217908359566282,0.18049327354260092,2.360151508270547,0.018544753984661384,1.1269275518108852
2,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Ricotta Pillows'}),0.1782841153250387,0.1251311647429171,0.05122920101933743,0.2873458520179372,2.2963572073215444,0.028920302013554777,1.2276204912780542
3,frozenset({'Ricotta Pillows'}),frozenset({'Bucatini Cacio e Pepe'}),0.1251311647429171,0.1782841153250387,0.05122920101933743,0.40940401317759806,2.2963572073215444,0.028920302013554777,1.391333336171245
4,frozenset({'Cavatelli Bolognese'}),frozenset({'Ricotta Pillows'}),0.11952231049817619,0.1251311647429171,0.03174186778593914,0.2655727424749164,2.122354914705202,0.016785901860537765,1.1912259877244584
5,frozenset({'Ricotta Pillows'}),frozenset({'Cavatelli Bolognese'}),0.1251311647429171,0.11952231049817619,0.03174186778593914,0.25366876310272535,2.1223549147052014,0.016785901860537765,1.1797411738549717
6,frozenset({'Cavatelli Bolognese'}),frozenset({'Spicy Meatballs'}),0.11952231049817619,0.1681032328986159,0.039349422875131164,0.32922240802675584,1.9584537569560718,0.01925733607687557,1.240197611035532
7,frozenset({'Spicy Meatballs'}),frozenset({'Cavatelli Bolognese'}),0.1681032328986159,0.11952231049817619,0.039349422875131164,0.2340789180352233,1.9584537569560718,0.01925733607687557,1.1495671162924268
8,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Broccolini'}),0.1782841153250387,0.09621246189976515,0.03352820666566732,0.18806053811659196,1.9546380417176603,0.016375053012623694,1.1131218280778867
9,frozenset({'Broccolini'}),frozenset({'Bucatini Cacio e Pepe'}),0.09621246189976515,0.1782841153250387,0.03352820666566732,0.3484809140482992,1.9546380417176603,0.016375053012623694,1.2612307181679059
